DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
0,0,0,6259559
0,0,0,6183645
0,0,0,6987759
0,0,0,7602960
0,0,0,7158964
0,0,0,7206408
0,0,0,7028673
0,0,0,6522172
0,0,0,7098099
0,0,0,6271355
0,0,0,6316803
0,0,0,7177992
0,0,0,6185184
0,0,0,7169102
0,0,0,7111493
0,0,0,7016832
0,0,0,7038681
0,0,0,6782598
0,0,0,7007866
0,0,0,6339380
0,0,0,7116151
0,0,0,6259559
0,0,0,6183645
0,0,0,6987759
0,0,0,7602960
0,0,0,7158964
0,0,0,7206408
0,0,0,7028673
0,0,0,6522172
0,0,0,7098099
0,0,0,6271355
0,0,0,6316803
0,0,0,7177992
0,0,0,6185184
0,0,0,7169102
0,0,0,7111493
0,0,0,7016832
2034.833333,199.4833333,121.3333333,6185316.2
2004.428571,196.5142857,125,7169227
2012.428571,197.2571429,126.1428571,7111619.143
2046.428571,200.6142857,125.8571429,7016957.857
2062,202.1714286,126.8571429,7038807.857
2045.857143,200.5571429,127,6782725
2072.857143,203.2285714,129,7007995
2015.285714,197.5571429,125.5714286,6339505.571
1814.857143,177.8857143,112.7142857,7116263.714
1842.285714,180.5857143,162.4285714,6259721.429
2078,203.7125,184.625,6183829.625
2071.25,203.05,181.875,6987940.875
2002,196.275,175.375,7603135.375
2023.375,198.3625,181.125,7159145.125
2069.125,202.85,172.375,7206580.375
2052.5,201.2,177.625,7028850.625
1970.285714,193.1285714,175,7180141
2036.285714,199.6285714,178.2857143,6522350.286
1952.428571,191.4142857,174.8571429,7098273.857
2109.875,206.85,187.5,6271542.5
1865.142857,182.8,162.8571429,6316965.857
1974,193.5125,174.375,7178166.375
1974.666667,193.5833333,173.5,6185357.571
1958.25,191.9375,174.5,7169276.5
1951,191.2625,176.75,7111669.75
1969.25,193.0375,175.875,7017007.875
1998.75,195.925,177.625,7038858.625
1987.714286,194.8571429,174.8571429,6782772.857
2025.857143,198.6,176.7142857,7008042.714
1967.125,192.825,175.25,6339555.25
1740.125,170.5375,157,7116308
1877.875,184.0625,206.375,6259765.375
2142.714286,210.0714286,233.7142857,6183878.714
2122.857143,208.1142857,231.2857143,6987990.286
2048.142857,200.7857143,223.8571429,7603183.857
2121,207.9571429,229.5714286,7159193.571
2099.428571,205.8285714,221.8571429,7206629.857
2072,203.1142857,227.1428571,7028900.143
2041.375,200.125,223.125,7180189.125
2067.285714,202.6428571,224.7142857,6522396.714
2016.75,197.6875,221.625,7098320.625
2176.857143,213.4285714,237.7142857,6271592.714
1890.125,185.3,207.625,6317010.625
2000.142857,196.0857143,222.7142857,7178214.714
2026.857143,198.7285714,219.5714286,6185406
1897.142857,185.9714286,219.4285714,7169321.429
1961.428571,192.2714286,222.2857143,7111715.286
2050.571429,201.0285714,224,7017056
1902.857143,186.5428571,225,7038906
2043.5,200.325,222.5,6782820.5
2060.125,201.9375,224.75,7008090.75
